epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3377.2,1.08815,0.68145,1.29591,0.76984,0.68469,0.68496,0.44028,1.23726,0.49748,1.40398,0.007921,0.007921,0.007921
44,3454.56,1.08698,0.68342,1.29148,0.79048,0.73033,0.72976,0.47662,1.25561,0.47811,1.42051,0.0078715,0.0078715,0.0078715
45,3532.29,1.08329,0.67635,1.29291,0.72753,0.75832,0.76082,0.49426,1.23282,0.4659,1.39438,0.007822,0.007822,0.007822
46,3610.38,1.07844,0.68252,1.28862,0.8171,0.75264,0.76802,0.509,1.19523,0.46507,1.35485,0.0077725,0.0077725,0.0077725
47,3688.19,1.0869,0.67954,1.29222,0.82421,0.71386,0.74415,0.49393,1.22761,0.47203,1.39152,0.007723,0.007723,0.007723
48,3765.54,1.07105,0.66397,1.2836,0.79675,0.77138,0.76124,0.49088,1.26909,0.47219,1.43079,0.0076735,0.0076735,0.0076735
49,3842.77,1.07568,0.66062,1.28809,0.70221,0.78706,0.73319,0.47744,1.21639,0.47402,1.38419,0.007624,0.007624,0.007624
50,3920.71,1.07125,0.66196,1.28113,0.72079,0.75228,0.75269,0.48525,1.22879,0.46335,1.39263,0.0075745,0.0075745,0.0075745
51,3998.49,1.06045,0.65176,1.27691,0.74601,0.76962,0.75109,0.48868,1.23024,0.46545,1.39201,0.007525,0.007525,0.007525
52,4075.92,1.07044,0.65976,1.28326,0.81823,0.73421,0.74261,0.4699,1.26636,0.47858,1.43347,0.0074755,0.0074755,0.0074755
53,4153.54,1.0638,0.65818,1.27541,0.82197,0.7714,0.77836,0.50317,1.24187,0.46445,1.41414,0.007426,0.007426,0.007426
54,4231.39,1.06454,0.65019,1.27596,0.77044,0.72616,0.72911,0.48632,1.20784,0.46163,1.36877,0.0073765,0.0073765,0.0073765
55,4309.38,1.06563,0.65364,1.27187,0.75962,0.72855,0.75105,0.48063,1.26975,0.48224,1.41768,0.007327,0.007327,0.007327
56,4387.06,1.0645,0.64809,1.27939,0.75911,0.75534,0.77537,0.48857,1.23685,0.459,1.39301,0.0072775,0.0072775,0.0072775
57,4464.79,1.05564,0.64982,1.26931,0.78747,0.7351,0.7442,0.47727,1.24967,0.46521,1.40733,0.007228,0.007228,0.007228
58,4542.46,1.06116,0.64829,1.27444,0.84648,0.72199,0.7476,0.47611,1.25393,0.46493,1.41683,0.0071785,0.0071785,0.0071785
59,4620.05,1.05286,0.64325,1.27835,0.78261,0.72154,0.73793,0.47358,1.2593,0.46287,1.41895,0.007129,0.007129,0.007129
60,4697.89,1.05886,0.64404,1.27182,0.81113,0.69997,0.74815,0.48794,1.22186,0.46433,1.39366,0.0070795,0.0070795,0.0070795
61,4775.2,1.05521,0.64529,1.27029,0.74357,0.77577,0.75981,0.49665,1.22025,0.45286,1.38451,0.00703,0.00703,0.00703
62,4852.89,1.04953,0.64072,1.2745,0.79816,0.77438,0.77099,0.50106,1.22523,0.45321,1.38871,0.0069805,0.0069805,0.0069805
63,4930.25,1.04968,0.63068,1.27075,0.79575,0.79045,0.78442,0.52532,1.22374,0.44507,1.37459,0.006931,0.006931,0.006931
64,5007.62,1.04729,0.64088,1.26841,0.7669,0.76347,0.76113,0.49559,1.22967,0.46008,1.39054,0.0068815,0.0068815,0.0068815
65,5084.91,1.038,0.62714,1.2624,0.82154,0.70999,0.76378,0.49723,1.22672,0.45048,1.39523,0.006832,0.006832,0.006832
66,5162.22,1.043,0.63582,1.26923,0.80352,0.76604,0.78801,0.51636,1.22231,0.4422,1.39081,0.0067825,0.0067825,0.0067825
67,5239.5,1.04498,0.63601,1.26369,0.77619,0.81095,0.80075,0.52057,1.23441,0.44989,1.39024,0.006733,0.006733,0.006733
68,5316.74,1.04107,0.62934,1.26046,0.83311,0.76603,0.79106,0.51109,1.2435,0.44668,1.39148,0.0066835,0.0066835,0.0066835
69,5394.24,1.0397,0.62877,1.2562,0.76734,0.81069,0.77692,0.51694,1.19601,0.43168,1.36534,0.006634,0.006634,0.006634
70,5472.13,1.0448,0.62848,1.26316,0.78916,0.76265,0.794,0.52204,1.20034,0.43505,1.36974,0.0065845,0.0065845,0.0065845
71,5549.58,1.04604,0.63037,1.26199,0.82148,0.7708,0.78912,0.51261,1.21573,0.44194,1.38663,0.006535,0.006535,0.006535
72,5626.75,1.04205,0.62664,1.26105,0.82723,0.74183,0.78533,0.52319,1.2086,0.4385,1.37056,0.0064855,0.0064855,0.0064855
73,5704.49,1.03971,0.62906,1.26097,0.82861,0.73984,0.77996,0.51563,1.21656,0.4396,1.37261,0.006436,0.006436,0.006436
